p,pfail,err
0.045,0.00019992003198720512,0.0002827013575563097
0.0455263,0.00019992003198720512,0.0002827013575563097
0.0460526,0.00019992003198720512,0.0002827013575563097
0.0465789,0.00019992003198720512,0.0002827013575563097
0.0471053,0.00019992003198720512,0.0002827013575563097
0.0476316,0.00019992003198720512,0.0002827013575563097
0.0481579,0.00019992003198720512,0.0002827013575563097
0.0486842,0.00019992003198720512,0.0002827013575563097
0.0492105,0.00019992003198720512,0.0002827013575563097
0.0497368,0.00019992003198720512,0.0002827013575563097
0.0502632,0.00019992003198720512,0.0002827013575563097
0.0507895,0.00019992003198720512,0.0002827013575563097
0.0513158,0.00019992003198720512,0.0002827013575563097
0.0518421,0.03168732506997201,0.0035026258784995696
0.0523684,0.453218712514994,0.009954143381944565
0.0528947,0.5026989204318273,0.009997854944437085
0.0534211,0.5103958416633346,0.009995839327885217
0.0539474,0.5039984006397441,0.009997680914465247
0.0544737,0.5156937225109957,0.009993074512591881
0.055,0.5173930427828869,0.009991949619679844
